round_id,pipeline_version,started_at,status,target_method,base_query,final_query,query_width_k,decision_width,guardian_order_by,total_available,candidates_retrieved,candidates_filtered,scored_count,unique_scored,duplicate_scored,unique_rate,tier_a_count,tier_b_count,near_miss_count,reward_R,reward_V,goldmine_triggered,phase,failure_stage,failure_message
48,v3,2026-04-05T05:02:56.569710+00:00,completed,expert_secondary,"(""administrative data"" OR ""observational study"" OR ""regression analysis"" OR econometric OR ""difference-in-differences"") AND (pilot OR introduced OR approved OR ""decided to"" OR evaluation OR rollout OR expanded OR mandated OR ""scale up"" OR scrapped OR ""will introduce"" OR launched) AND NOT (sentencing OR prosecution OR defendant OR verdict OR convicted OR charged OR magistrate OR ""crown court"" OR jury OR appeal OR tournament OR championship OR ""premier league"" OR goal OR coach OR match OR album OR film OR theatre OR premiere OR ""box office"" OR randomized OR randomised OR trial OR rct OR placebo OR ""control group"")","(""administrative data"" OR ""observational study"" OR ""regression analysis"" OR econometric OR ""difference-in-differences"") AND (pilot OR introduced OR approved OR ""decided to"" OR evaluation OR rollout OR expanded OR mandated OR ""scale up"" OR scrapped OR ""will introduce"" OR launched) AND NOT (sentencing OR prosecution OR defendant OR verdict OR convicted OR charged OR magistrate OR ""crown court"" OR jury OR appeal OR tournament OR championship OR ""premier league"" OR goal OR coach OR match OR album OR film OR theatre OR premiere OR ""box office"" OR randomized OR randomised OR trial OR rct OR placebo OR ""control group"")",3,12,relevance,43,43,35,33,33,2,0.9428571428571428,1,20,5,0.5016000000000002,0.66,True,2,,
49,v3,2026-04-05T05:08:51.160035+00:00,completed,gut,"(""without evidence"" OR ""no evidence"" OR ""despite evidence"") AND (pilot OR ""rolled out"" OR rollout OR implemented OR introduced OR trialled OR launched OR expanded) AND NOT (sentencing OR prosecution OR defendant OR verdict OR convicted OR charged OR magistrate OR ""crown court"" OR jury OR appeal OR tournament OR championship OR ""premier league"" OR goal OR coach OR match OR album OR film OR theatre OR premiere OR ""box office"" OR trial OR randomized OR randomised OR study OR evaluation OR pilot OR ""impact assessment"" OR review)","(""without evidence"" OR ""no evidence"" OR ""despite evidence"") AND (pilot OR ""rolled out"" OR rollout OR implemented OR introduced OR trialled OR launched OR expanded) AND NOT (sentencing OR prosecution OR defendant OR verdict OR convicted OR charged OR magistrate OR ""crown court"" OR jury OR appeal OR tournament OR championship OR ""premier league"" OR goal OR coach OR match OR album OR film OR theatre OR premiere OR ""box office"" OR trial OR randomized OR randomised OR study OR evaluation OR pilot OR ""impact assessment"" OR review)",10,12,newest,2077,250,227,100,222,5,0.9779735682819384,0,27,7,0.39229074889867843,1.0,True,2,,
50,v3,2026-04-05T05:25:36.254420+00:00,completed,rct,"(""randomised controlled trial"" OR ""randomized controlled trial"" OR RCT OR ""control group"" OR ""randomly assigned"" OR ""field experiment"" OR ""clinical trial"" OR ""controlled study"" OR randomisation OR ""trial participants"") AND (pilot OR ""rolled out"" OR rollout OR implemented OR introduced OR trialled OR launched OR expanded OR ""scale up"" OR approved OR scrapped OR mandated OR ""decided to"" OR ""plans to"" OR ""will introduce"" OR evaluation) AND NOT (sentencing OR prosecution OR defendant OR verdict OR convicted OR charged OR magistrate OR ""crown court"" OR jury OR appeal OR tournament OR championship OR ""premier league"" OR goal OR coach OR match OR album OR film OR theatre OR premiere OR ""box office"")","(""randomised controlled trial"" OR ""randomized controlled trial"" OR RCT OR ""control group"" OR ""randomly assigned"" OR ""field experiment"" OR ""clinical trial"" OR ""controlled study"" OR randomisation OR ""trial participants"") AND (pilot OR ""rolled out"" OR rollout OR implemented OR introduced OR trialled OR launched OR expanded OR ""scale up"" OR approved OR scrapped OR mandated OR ""decided to"" OR ""plans to"" OR ""will introduce"" OR evaluation) AND NOT (sentencing OR prosecution OR defendant OR verdict OR convicted OR charged OR magistrate OR ""crown court"" OR jury OR appeal OR tournament OR championship OR ""premier league"" OR goal OR coach OR match OR album OR film OR theatre OR premiere OR ""box office"")",10,16,relevance,1046,250,237,20,20,217,0.08438818565400844,7,8,3,0.21581434599156119,0.4,True,2,,
51,v3,2026-04-05T05:32:27.318481+00:00,completed,case_study,"(""case study"" OR ""case studies"" OR ""pilot site"" OR ""lessons learned"" OR ""implementation story"" OR ""rollout experience"" OR ""one council"") AND (pilot OR ""rolled out"" OR rollout OR implemented OR introduced OR trialled OR launched OR expanded OR ""scale up"" OR approved OR scrapped OR mandated OR ""decided to"" OR ""plans to"" OR ""will introduce"" OR evaluation) AND NOT (sentencing OR prosecution OR defendant OR verdict OR convicted OR charged OR magistrate OR ""crown court"" OR jury OR appeal OR tournament OR championship OR ""premier league"" OR goal OR coach OR match OR album OR film OR theatre OR premiere OR ""box office"")","(""case study"" OR ""case studies"" OR ""pilot site"" OR ""lessons learned"" OR ""implementation story"" OR ""rollout experience"" OR ""one council"") AND (pilot OR ""rolled out"" OR rollout OR implemented OR introduced OR trialled OR launched OR expanded OR ""scale up"" OR approved OR scrapped OR mandated OR ""decided to"" OR ""plans to"" OR ""will introduce"" OR evaluation) AND NOT (sentencing OR prosecution OR defendant OR verdict OR convicted OR charged OR magistrate OR ""crown court"" OR jury OR appeal OR tournament OR championship OR ""premier league"" OR goal OR coach OR match OR album OR film OR theatre OR premiere OR ""box office"")",10,16,newest,2409,250,225,94,94,131,0.4177777777777778,0,0,0,-0.003777777777777769,1.0,False,2,,
52,v3,2026-04-05T05:33:13.835984+00:00,completed,case_study,"(""case study"" OR ""case studies"" OR ""pilot site"" OR ""lessons learned"" OR ""implementation story"" OR ""rollout experience"" OR ""one council"") AND (introduced OR ""will introduce"" OR evaluation OR ""decided to"" OR launched OR mandated OR approved OR rollout OR ""rolled out"" OR ""plans to"" OR pilot OR expanded) AND NOT (sentencing OR prosecution OR defendant OR verdict OR convicted OR charged OR magistrate OR ""crown court"" OR jury OR appeal OR tournament OR championship OR ""premier league"" OR goal OR coach OR match OR album OR film OR theatre OR premiere OR ""box office"")","(""case study"" OR ""case studies"" OR ""pilot site"" OR ""lessons learned"" OR ""implementation story"" OR ""rollout experience"" OR ""one council"") AND (introduced OR ""will introduce"" OR evaluation OR ""decided to"" OR launched OR mandated OR approved OR rollout OR ""rolled out"" OR ""plans to"" OR pilot OR expanded) AND NOT (sentencing OR prosecution OR defendant OR verdict OR convicted OR charged OR magistrate OR ""crown court"" OR jury OR appeal OR tournament OR championship OR ""premier league"" OR goal OR coach OR match OR album OR film OR theatre OR premiere OR ""box office"")",10,12,newest,2232,250,223,6,6,217,0.026905829596412557,0,1,1,-0.015969955156950672,0.12,False,2,,
53,v3,2026-04-05T05:34:39.572544+00:00,completed,case_study,"(""case study"" OR ""case studies"" OR ""pilot site"") AND (implemented OR trialled OR rollout OR evaluation OR introduced OR approved OR pilot OR ""plans to"" OR mandated OR ""scale up"" OR ""decided to"" OR scrapped) AND NOT (sentencing OR prosecution OR defendant OR verdict OR convicted OR charged OR magistrate OR ""crown court"" OR jury OR appeal OR tournament OR championship OR ""premier league"" OR goal OR coach OR match OR album OR film OR theatre OR premiere OR ""box office"")","(""case study"" OR ""case studies"" OR ""pilot site"") AND (implemented OR trialled OR rollout OR evaluation OR introduced OR approved OR pilot OR ""plans to"" OR mandated OR ""scale up"" OR ""decided to"" OR scrapped) AND NOT (sentencing OR prosecution OR defendant OR verdict OR convicted OR charged OR magistrate OR ""crown court"" OR jury OR appeal OR tournament OR championship OR ""premier league"" OR goal OR coach OR match OR album OR film OR theatre OR premiere OR ""box office"")",3,12,relevance,1302,250,239,48,48,191,0.200836820083682,0,18,1,0.10108117154811713,0.96,True,2,,
54,v3,2026-04-05T05:56:37.044154+00:00,completed,case_study,"(""case study"" OR ""case studies"" OR ""pilot site"" OR ""lessons learned"" OR ""implementation story"" OR ""rollout experience"" OR ""one council"") AND (pilot OR ""rolled out"" OR rollout OR implemented OR introduced OR trialled OR launched OR expanded OR ""scale up"" OR approved OR scrapped OR mandated OR ""decided to"" OR ""plans to"" OR ""will introduce"" OR evaluation) AND NOT (sentencing OR prosecution OR defendant OR verdict OR convicted OR charged OR magistrate OR ""crown court"" OR jury OR appeal OR tournament OR championship OR ""premier league"" OR goal OR coach OR match OR album OR film OR theatre OR premiere OR ""box office"")","(""case study"" OR ""case studies"" OR ""pilot site"" OR ""lessons learned"" OR ""implementation story"" OR ""rollout experience"" OR ""one council"") AND (pilot OR ""rolled out"" OR rollout OR implemented OR introduced OR trialled OR launched OR expanded OR ""scale up"" OR approved OR scrapped OR mandated OR ""decided to"" OR ""plans to"" OR ""will introduce"" OR evaluation) AND NOT (sentencing OR prosecution OR defendant OR verdict OR convicted OR charged OR magistrate OR ""crown court"" OR jury OR appeal OR tournament OR championship OR ""premier league"" OR goal OR coach OR match OR album OR film OR theatre OR premiere OR ""box office"")",10,16,relevance,2409,250,234,10,10,224,0.042735042735042736,0,6,0,-0.008008547008547006,0.2,True,2,,
55,v3,2026-04-05T05:59:20.468194+00:00,completed,case_study,"(""case study"" OR ""case studies"" OR ""pilot site"") AND (pilot OR ""rolled out"" OR rollout OR implemented OR introduced OR trialled OR launched OR expanded OR ""scale up"" OR approved OR scrapped OR mandated OR ""decided to"" OR ""plans to"" OR ""will introduce"" OR evaluation) AND NOT (sentencing OR prosecution OR defendant OR verdict OR convicted OR charged OR magistrate OR ""crown court"" OR jury OR appeal OR tournament OR championship OR ""premier league"" OR goal OR coach OR match OR album OR film OR theatre OR premiere OR ""box office"")","(""case study"" OR ""case studies"" OR ""pilot site"") AND (pilot OR ""rolled out"" OR rollout OR implemented OR introduced OR trialled OR launched OR expanded OR ""scale up"" OR approved OR scrapped OR mandated OR ""decided to"" OR ""plans to"" OR ""will introduce"" OR evaluation) AND NOT (sentencing OR prosecution OR defendant OR verdict OR convicted OR charged OR magistrate OR ""crown court"" OR jury OR appeal OR tournament OR championship OR ""premier league"" OR goal OR coach OR match OR album OR film OR theatre OR premiere OR ""box office"")",3,16,relevance,1689,250,239,0,0,239,0.0,0,0,0,-0.0075,0.0,False,2,,
56,v3,2026-04-05T05:59:28.256835+00:00,completed,case_study,"(""case study"" OR ""case studies"" OR ""pilot site"" OR ""lessons learned"" OR ""implementation story"" OR ""rollout experience"" OR ""one council"") AND (pilot OR ""rolled out"" OR rollout OR implemented OR introduced OR trialled OR launched OR expanded OR ""scale up"" OR approved OR scrapped OR mandated OR ""decided to"" OR ""plans to"" OR ""will introduce"" OR evaluation) AND NOT (sentencing OR prosecution OR defendant OR verdict OR convicted OR charged OR magistrate OR ""crown court"" OR jury OR appeal OR tournament OR championship OR ""premier league"" OR goal OR coach OR match OR album OR film OR theatre OR premiere OR ""box office"")","(""case study"" OR ""case studies"" OR ""pilot site"" OR ""lessons learned"" OR ""implementation story"" OR ""rollout experience"" OR ""one council"") AND (pilot OR ""rolled out"" OR rollout OR implemented OR introduced OR trialled OR launched OR expanded OR ""scale up"" OR approved OR scrapped OR mandated OR ""decided to"" OR ""plans to"" OR ""will introduce"" OR evaluation) AND NOT (sentencing OR prosecution OR defendant OR verdict OR convicted OR charged OR magistrate OR ""crown court"" OR jury OR appeal OR tournament OR championship OR ""premier league"" OR goal OR coach OR match OR album OR film OR theatre OR premiere OR ""box office"")",10,16,relevance,2409,250,234,0,0,234,0.0,0,0,0,-0.0075,0.0,False,2,,
57,v3,2026-04-05T05:59:37.997571+00:00,completed,case_study,"(""case study"" OR ""case studies"" OR ""pilot site"" OR ""lessons learned"" OR ""implementation story"" OR ""rollout experience"" OR ""one council"") AND (scrapped OR mandated OR trialled OR implemented OR pilot OR approved OR ""decided to"" OR evaluation OR ""scale up"" OR ""will introduce"" OR ""plans to"" OR rollout) AND NOT (sentencing OR prosecution OR defendant OR verdict OR convicted OR charged OR magistrate OR ""crown court"" OR jury OR appeal OR tournament OR championship OR ""premier league"" OR goal OR coach OR match OR album OR film OR theatre OR premiere OR ""box office"")","(""case study"" OR ""case studies"" OR ""pilot site"" OR ""lessons learned"" OR ""implementation story"" OR ""rollout experience"" OR ""one council"") AND (scrapped OR mandated OR trialled OR implemented OR pilot OR approved OR ""decided to"" OR evaluation OR ""scale up"" OR ""will introduce"" OR ""plans to"" OR rollout) AND NOT (sentencing OR prosecution OR defendant OR verdict OR convicted OR charged OR magistrate OR ""crown court"" OR jury OR appeal OR tournament OR championship OR ""premier league"" OR goal OR coach OR match OR album OR film OR theatre OR premiere OR ""box office"")",7,12,relevance,1640,250,231,29,29,202,0.12554112554112554,0,23,5,0.05448484848484848,0.58,True,2,,
