url,id,title,date,section,method_queries,in_training,word_count
https://www.theguardian.com/books/2024/jan/03/charity-launches-support-scheme-for-at-risk-libraries-budget-cuts-libraries-connected,books/2024/jan/03/charity-launches-support-scheme-for-at-risk-libraries-budget-cuts-libraries-connected,Charity launches support scheme for at-risk libraries in wake of budget cuts,2024-01-03T15:29:32Z,Books,casestudy,yes,527
https://www.theguardian.com/money/2024/dec/18/what-are-waspi-women-and-why-do-they-feel-betrayed-over-pensions,money/2024/dec/18/what-are-waspi-women-and-why-do-they-feel-betrayed-over-pensions,Who are the ‘Waspi women’ and why do they feel betrayed over pensions?,2024-12-18T14:53:50Z,Money,casestudy,yes,930
https://www.theguardian.com/australia-news/2024/mar/28/nsw-may-be-forced-to-pay-150m-a-year-to-extend-life-of-coal-fired-plant-energy-expert-predicts,australia-news/2024/mar/28/nsw-may-be-forced-to-pay-150m-a-year-to-extend-life-of-coal-fired-plant-energy-expert-predicts,"NSW may be forced to pay $150m a year to extend life of coal-fired plant, energy expert predicts",2024-03-27T14:00:26Z,Australia news,"casestudy,expert_qual",yes,964
https://www.theguardian.com/commentisfree/2025/feb/06/womens-prisons-welfare-state-uk-england-jails,commentisfree/2025/feb/06/womens-prisons-welfare-state-uk-england-jails,The idea of ‘welfare’ has lost all meaning. Just look at the cruel state of women’s prisons | Zoe Williams,2025-02-06T12:47:48Z,Opinion,casestudy,yes,1144
https://www.theguardian.com/commentisfree/2025/jun/22/trump-iran-george-w-bush-netanyahu,commentisfree/2025/jun/22/trump-iran-george-w-bush-netanyahu,"Like George W Bush, Trump has started a reckless war based on a lie | Mohamad Bazzi",2025-06-22T20:00:47Z,Opinion,casestudy,yes,1708
https://www.theguardian.com/australia-news/2024/sep/12/australias-aged-care-overhaul-what-are-the-changes-and-will-you-have-to-pay-more,australia-news/2024/sep/12/australias-aged-care-overhaul-what-are-the-changes-and-will-you-have-to-pay-more,"Australia’s aged care overhaul: what are the changes, and will you have to pay more?",2024-09-12T10:10:13Z,Australia news,casestudy,yes,1182
https://www.theguardian.com/society/article/2024/jul/25/harm-from-problem-gambling-in-uk-may-be-eight-times-higher-than-thought-research-finds,society/article/2024/jul/25/harm-from-problem-gambling-in-uk-may-be-eight-times-higher-than-thought-research-finds,Harm from problem gambling in Great Britain ‘may be eight times higher than thought’,2024-07-25T16:52:37Z,Society,casestudy,yes,1188
https://www.theguardian.com/business/2025/may/03/inside-the-marks-and-spencer-cyber-attack-chaos,business/2025/may/03/inside-the-marks-and-spencer-cyber-attack-chaos,"Clothing shortages, food waste and millions lost each day: inside the M&S cyber-attack chaos",2025-05-03T11:00:37Z,Business,casestudy,yes,1597
https://www.theguardian.com/media/2025/may/23/weekly-beast-nick-mckenzie-secret-recording-ben-roberts-smith-sky-news-ntwnfb,media/2025/may/23/weekly-beast-nick-mckenzie-secret-recording-ben-roberts-smith-sky-news-ntwnfb,Court’s nuanced analysis of Nick McKenzie’s secret recording in Ben Roberts-Smith appeal a far cry from Sky News claims | Weekly Beast,2025-05-23T02:54:17Z,Media,casestudy,yes,1083
https://www.theguardian.com/australia-news/article/2024/sep/10/steadfast-group-insurance-broker-four-corners-report,australia-news/article/2024/sep/10/steadfast-group-insurance-broker-four-corners-report,Steadfast Group announces review after Four Corners report alleged brokers hid cheaper quote from rival,2024-09-10T05:30:18Z,Australia news,casestudy,yes,442
https://www.theguardian.com/society/2024/nov/05/digital-tech-rich-opportunities-child-development-study,society/2024/nov/05/digital-tech-rich-opportunities-child-development-study,"Digital tech can offer rich opportunities for child development, study says",2024-11-05T11:47:45Z,Society,casestudy,yes,603
https://www.theguardian.com/environment/commentisfree/2024/nov/07/dick-smith-abc-radio-renewables-rant-electricity-prices-ntwnfb,environment/commentisfree/2024/nov/07/dick-smith-abc-radio-renewables-rant-electricity-prices-ntwnfb,Dick Smith’s ABC radio rant against renewables overflows with ill-informed claims | Temperature Check,2024-11-06T14:00:39Z,Environment,casestudy,yes,1135
https://www.theguardian.com/culture/2025/may/16/arts-council-england-chair-says-sector-at-tipping-point-amid-funding-fears,culture/2025/may/16/arts-council-england-chair-says-sector-at-tipping-point-amid-funding-fears,Arts Council England chair says sector at ‘tipping point’ amid funding fears,2025-05-16T06:00:49Z,Culture,casestudy,yes,803
https://www.theguardian.com/business/2023/nov/02/australian-academics-apologise-for-false-ai-generated-allegations-against-big-four-consultancy-firms,business/2023/nov/02/australian-academics-apologise-for-false-ai-generated-allegations-against-big-four-consultancy-firms,Australian academics apologise for false AI-generated allegations against big four consultancy firms,2023-11-02T14:08:19Z,Business,casestudy,yes,627
