url,id,title,section,method_queries,reason
https://www.theguardian.com/football/2018/may/14/gareth-southgate-england-week-off-before-world-cup,football/2018/may/14/gareth-southgate-england-week-off-before-world-cup,Gareth Southgate gives England players week off before World Cup preparations,Football,gut,sport
https://www.theguardian.com/football/2019/aug/15/alex-morgan-says-pay-to-play-is-hurting-soccer-in-the-us-is-she-right,football/2019/aug/15/alex-morgan-says-pay-to-play-is-hurting-soccer-in-the-us-is-she-right,Alex Morgan says pay-to-play is hurting soccer in the US. Is she right?,Football,gut,sport
https://www.theguardian.com/sport/2018/mar/26/british-cycling-to-appoint-integrity-officer-jiffy-bag-aftermath,sport/2018/mar/26/british-cycling-to-appoint-integrity-officer-jiffy-bag-aftermath,British Cycling to appoint integrity officer in Jiffy bag aftermath,Sport,gut,sport
https://www.theguardian.com/sport/2016/feb/16/the-spin-red-yellow-cards-cricket,sport/2016/feb/16/the-spin-red-yellow-cards-cricket,Red and yellow cards – yet another development that just isn’t cricket,Sport,gut,sport
https://www.theguardian.com/football/2014/mar/26/julian-green-ongoing-saga-us-soccers-immigration-policies,football/2014/mar/26/julian-green-ongoing-saga-us-soccers-immigration-policies,Julian Green and the ongoing saga of US soccer's immigration policies,Football,gut,sport
https://www.theguardian.com/football/2015/jan/23/newcastle-fans-furious-local-abc-commentator-wont-call-socceroos-asian-cup-semi,football/2015/jan/23/newcastle-fans-furious-local-abc-commentator-wont-call-socceroos-asian-cup-semi,Newcastle fans furious local ABC commentator won't call Socceroos' Asian Cup semi,Football,gut,sport
https://www.theguardian.com/sport/2014/nov/17/nba-adam-silver-legal-gambling,sport/2014/nov/17/nba-adam-silver-legal-gambling,Bet on legal gambling shows NBA chief Adam Silver has a golden touch | Hunter Felt,Sport,gut,sport
https://www.theguardian.com/sport/2013/jul/08/ashes-2013-billy-the-trumpet,sport/2013/jul/08/ashes-2013-billy-the-trumpet,Ashes 2013: Nottinghamshire refuse to back down over Billy the Trumpeter,Sport,gut,sport
https://www.theguardian.com/sport/2014/aug/12/essendons-asada-power-play-means-afl-cannot-be-the-winner-on-the-day,sport/2014/aug/12/essendons-asada-power-play-means-afl-cannot-be-the-winner-on-the-day,Essendon's Asada power play means AFL cannot be the winner on the day,Sport,gut,sport
https://www.theguardian.com/sport/blog/2014/may/08/live-racing-8-may-2014,sport/blog/2014/may/08/live-racing-8-may-2014,Talking Horses: today's best bets and all the latest racing news,Sport,gut,sport
https://www.theguardian.com/sport/2012/sep/28/lewis-hamilton-formulaone,sport/2012/sep/28/lewis-hamilton-formulaone,Lewis Hamilton set to leave McLaren to join Mercedes,Sport,gut,sport
https://www.theguardian.com/sport/2012/aug/12/lee-westwood-us-pga-coach,sport/2012/aug/12/lee-westwood-us-pga-coach,Lee Westwood splits with long-term coach after missing US PGA cut,Sport,gut,sport
https://www.theguardian.com/sport/blog/2009/mar/24/ledley-king-england-fabio-capello,sport/blog/2009/mar/24/ledley-king-england-fabio-capello,Dominic Fifield: Ledley King stands by on wounded knee,Sport,gut,sport
https://www.theguardian.com/football/2008/aug/31/arsenal,football/2008/aug/31/arsenal,Young guns: A history of Arsenal's youth system,Football,gut,sport
https://www.theguardian.com/sport/2008/sep/10/tourdefrance.cycling1,sport/2008/sep/10/tourdefrance.cycling1,Cycling: Tour de France chief warns Lance Armstrong over stringent testing,Sport,gut,sport
https://www.theguardian.com/sport/2007/dec/04/rugbyunion.sport,sport/2007/dec/04/rugbyunion.sport,Rugby union: Premier Rugby rethinks wealth redistribution plans,Sport,gut,sport
https://www.theguardian.com/sport/2005/nov/15/cricket.gdnsport3,sport/2005/nov/15/cricket.gdnsport3,Cricket: Lord's to defy ICC's ban on alcohol,Sport,gut,sport
https://www.theguardian.com/football/2002/sep/13/newsstory.sport3,football/2002/sep/13/newsstory.sport3,Whistle blown on Ecuador referee,Football,gut,sport
https://www.theguardian.com/sport/2003/jun/12/golf.usopengolf2003,sport/2003/jun/12/golf.usopengolf2003,Clarke gambles all on a long shot,Sport,gut,sport
https://www.theguardian.com/football/2004/jun/26/minutebyminute.sport,football/2004/jun/26/minutebyminute.sport,Sweden 0 Holland 0 (4-5 on pens),Football,gut,sport
https://www.theguardian.com/sport/2001/aug/04/golf,sport/2001/aug/04/golf,Westwood joins Poulter among the Ryder chasers,Sport,gut,sport
https://www.theguardian.com/football/2020/feb/29/kevin-de-bruyne-new-era-manchester-city-carabao-cup-final-aston-villa,football/2020/feb/29/kevin-de-bruyne-new-era-manchester-city-carabao-cup-final-aston-villa,Kevin De Bruyne at the heart of new era emerging at Manchester City,Football,prepost,sport
https://www.theguardian.com/football/blog/2016/dec/02/premier-league-10-things-to-look-out-for,football/blog/2016/dec/02/premier-league-10-things-to-look-out-for,Premier League: 10 things to look out for this weekend,Football,prepost,sport
https://www.theguardian.com/football/blog/2015/jan/29/chelsea-manchester-city-england-world-care,football/blog/2015/jan/29/chelsea-manchester-city-england-world-care,Chelsea v Manchester City: assessing the fixture's global stature,Football,prepost,sport
https://www.theguardian.com/sport/2023/feb/11/very-disappointing-study-shows-education-does-nothing-to-stop-homophobic-language-in-mens-rugby,sport/2023/feb/11/very-disappointing-study-shows-education-does-nothing-to-stop-homophobic-language-in-mens-rugby,‘Very disappointing’: study shows education does nothing to stop homophobic language in men’s rugby,Sport,rct,sport
https://www.theguardian.com/sport/2022/sep/23/new-plagiarism-claims-against-sport-concussion-guru-paul-mccrory,sport/2022/sep/23/new-plagiarism-claims-against-sport-concussion-guru-paul-mccrory,New plagiarism claims against sport concussion guru Paul McCrory,Sport,rct,sport
https://www.theguardian.com/sport/2016/apr/26/rafael-nadal-international-tennis-federation-roselyne-bachelot,sport/2016/apr/26/rafael-nadal-international-tennis-federation-roselyne-bachelot,Rafael Nadal asks International Tennis Federation to publicise drug test results,Sport,rct,sport
https://www.theguardian.com/sport/2016/mar/09/fact-check-maria-sharapova-failed-test-meldonium,sport/2016/mar/09/fact-check-maria-sharapova-failed-test-meldonium,Fact check: do Maria Sharapova’s responses over her failed test stand up?,Sport,rct,sport
https://www.theguardian.com/sport/2010/feb/22/terry-newton-wakefield-trinity-drugs,sport/2010/feb/22/terry-newton-wakefield-trinity-drugs,Terry Newton sacked by Wakefield as doping body says test was targeted,Sport,rct,sport
https://www.theguardian.com/sport/2006/aug/22/athletics.gdnsport31,sport/2006/aug/22/athletics.gdnsport31,Athletics: Jones wants quick B test,Sport,rct,sport
https://www.theguardian.com/sport/2004/nov/10/duncanmackay1,sport/2004/nov/10/duncanmackay1,Equestrian: Waterford Crystal B-test proves positive,Sport,rct,sport
