bertopic_topic_id,size,top_10_words,exemplar_titles
0,305,the|of|to|and|in|that|is|for|it|with,"Medical cannabis: cross-party committee says Australia needs new roadside impair|Junk science, vaccine refusers and the return of smallpox: what worries one of A|NHS drug shortages are partly a political failure | Letters"
1,248,the|to|of|and|in|for|that|is|it|are,"Why Labour should target happiness alongside economic growth | Heather Stewart|Who are the ‘Waspi women’ and why do they feel betrayed over pensions?|Australia’s aged care overhaul: what are the changes, and will you have to pay m"
2,190,the|to|of|and|in|that|for|is|on|it,"This is Britain on heat pumps: how a nationwide switch could help our planet|NSW may be forced to pay $150m a year to extend life of coal-fired plant, energy|Environment secretary’s appeal against Yorkshire river pollution ruling fails"
3,174,the|of|to|and|in|that|was|for|said|police,Forensic science centre that inspired BBC show Traces at risk of closure|New Zealand government rejects Ardern-era bid to lower voting age|Landmark report on murdered Indigenous women condemned as ‘weak’ and ‘toothless’
4,139,the|to|of|and|in|that|for|on|is|it,Australian academics apologise for false AI-generated allegations against big fo|English Heritage chief steps down after overseeing controversial cost cuts|Between hollow rhetoric and war: how sanctions work – and why they often don’t
5,104,the|to|of|in|and|that|for|on|is|said,"Rishi Sunak’s national service pledge is ‘bonkers’, says ex-military chief|‘This will cost lives’: cuts to UK aid budget condemned as ‘betrayal’ by interna|Home affairs savaged by Australian audit office for poor oversight of dodgy migr"
6,51,the|to|in|of|trump|and|that|on|he|his,"Tuesday briefing: What the death of Ebrahim Raisi means for Iran’s political fut|Harris faces triple trouble, even before October’s inevitable surprises|Elon Musk opened a diner in Hollywood. What could go wrong? I went to find out"
