article_idx,article_id,url,title,in_training,dominant_prob_seed42,companion_stability
21,business/2023/nov/02/australian-academics-apologise-for-false-ai-generated-allegations-against-big-four-consultancy-firms,https://www.theguardian.com/business/2023/nov/02/australian-academics-apologise-for-false-ai-generated-allegations-against-big-four-consultancy-firms,Australian academics apologise for false AI-generated allegations against big four consultancy firms,yes,0.6805,0.2843
22,uk-news/2025/feb/27/martin-lewis-charity-money-worries-mental-health-policy-institute,https://www.theguardian.com/uk-news/2025/feb/27/martin-lewis-charity-money-worries-mental-health-policy-institute,‘We have to protect people’: Martin Lewis on his fight to stop money worries worsening mental health,yes,0.528,0.4896
23,global-development/2025/mar/03/those-of-us-who-rely-on-aid-must-accept-the-new-reality-and-shape-our-own-destiny,https://www.theguardian.com/global-development/2025/mar/03/those-of-us-who-rely-on-aid-must-accept-the-new-reality-and-shape-our-own-destiny,Those who depend on aid must embrace Trump’s bombshell and shape their own destiny | Janet Mawiyoo,yes,0.2588,0.0638
24,science/2025/feb/23/forensic-science-centre-that-inspired-bbc-show-traces-at-risk-of-closure,https://www.theguardian.com/science/2025/feb/23/forensic-science-centre-that-inspired-bbc-show-traces-at-risk-of-closure,Forensic science centre that inspired BBC show Traces at risk of closure,yes,0.3674,0.0853
25,news/ng-interactive/2025/may/24/something-has-gone-very-wrong-how-the-carers-scandal-was-exposed,https://www.theguardian.com/news/ng-interactive/2025/may/24/something-has-gone-very-wrong-how-the-carers-scandal-was-exposed,‘Something has gone very wrong’: how the carers scandal was exposed,yes,0.9181,0.2801
26,uk-news/2024/feb/26/northumberland-line-passenger-trains-return,https://www.theguardian.com/uk-news/2024/feb/26/northumberland-line-passenger-trains-return,‘Proper exciting’: passenger trains to return to Northumberland Line after 60 years,yes,0.859,0.0705
27,environment/2025/apr/02/ministers-lose-appeal-against-yorkshire-anglers-river-pollution-ruling,https://www.theguardian.com/environment/2025/apr/02/ministers-lose-appeal-against-yorkshire-anglers-river-pollution-ruling,Environment secretary’s appeal against Yorkshire river pollution ruling fails,yes,0.5785,0.3602
28,law/2024/dec/06/busybody-fines-up-42-in-2023-in-england-and-wales-report-shows,https://www.theguardian.com/law/2024/dec/06/busybody-fines-up-42-in-2023-in-england-and-wales-report-shows,"‘Busybody’ fines up 42% in 2023 in England and Wales, report shows",yes,0.3486,0.2801
29,world/2024/jan/16/new-zealand-government-voting-age-change-rejected-minimum-terms-parliament,https://www.theguardian.com/world/2024/jan/16/new-zealand-government-voting-age-change-rejected-minimum-terms-parliament,New Zealand government rejects Ardern-era bid to lower voting age,yes,0.6037,0.2645
30,australia-news/2022/dec/24/morally-questionable-compliance-element-should-be-scrapped-from-controversial-parentsnext-scheme-mps-told,https://www.theguardian.com/australia-news/2022/dec/24/morally-questionable-compliance-element-should-be-scrapped-from-controversial-parentsnext-scheme-mps-told,"‘Morally questionable’: compliance element should be scrapped from controversial ParentsNext scheme, MPs told",yes,0.9211,0.1784
31,uk-news/2025/jun/24/english-heritage-chief-nick-merriman-steps-down-after-overseeing-controversial-cost-cuts,https://www.theguardian.com/uk-news/2025/jun/24/english-heritage-chief-nick-merriman-steps-down-after-overseeing-controversial-cost-cuts,English Heritage chief steps down after overseeing controversial cost cuts,yes,0.4308,0.2791
32,environment/2022/jun/09/david-littleprouds-coal-case-study-to-defend-coalition-energy-policy-is-something-of-a-credibility-stretch,https://www.theguardian.com/environment/2022/jun/09/david-littleprouds-coal-case-study-to-defend-coalition-energy-policy-is-something-of-a-credibility-stretch,David Littleproud’s coal case study to defend Coalition energy policy is something of a credibility stretch | Temperatur,yes,0.5864,0.5319
